corrida,fitness,tiempo_ejecucion,interaccion,calificacion_blosum,memoria_usado_pct
1,26.082,2.6067655086517334,0.9,13.0,78.3
2,26.082,2.3512210845947266,0.9,13.0,77.9
3,26.082,2.4771273136138916,0.8,13.0,77.9
4,26.082,2.517381429672241,0.8,13.0,77.8
5,26.082,2.5464532375335693,0.9,13.0,77.9
6,26.082,2.8125360012054443,0.9,13.0,77.8
7,26.082,2.6326611042022705,0.9,13.0,78.0
8,26.082,2.552743911743164,0.9,13.0,78.1
9,26.082,2.7620222568511963,0.9,13.0,78.0
10,26.082,2.444810628890991,0.9,13.0,77.7
11,26.082,2.48964786529541,0.9,13.0,77.7
12,26.082,2.535810708999634,0.9,13.0,77.6
13,26.082,2.484570264816284,0.9,13.0,77.6
14,26.082,2.489201784133911,0.9,13.0,77.7
15,26.082,2.400106191635132,0.8,13.0,77.7
16,26.082,2.596112012863159,0.9,13.0,77.7
17,26.082,2.403015375137329,0.9,13.0,77.7
18,26.082,2.521155595779419,0.9,13.0,77.9
19,26.082,2.5951383113861084,0.9,13.0,77.7
20,26.082,2.5596487522125244,0.9,13.0,77.9
21,26.082,2.415522336959839,0.9,13.0,77.9
22,26.082,2.792520761489868,0.9,13.0,78.2
23,26.082,2.41037654876709,0.8,13.0,78.1
24,26.082,2.5725882053375244,0.9,13.0,78.3
25,26.082,2.5567290782928467,0.9,13.0,77.9
26,26.082,2.4614970684051514,0.9,13.0,78.0
27,26.082,2.463350772857666,0.9,13.0,78.0
28,26.082,2.5006322860717773,0.9,13.0,78.1
29,26.082,2.5264980792999268,0.9,13.0,78.0
30,26.082,2.551560878753662,0.9,13.0,78.2
